service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
1-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,Weekday (Modified)
1-127_MRG_2,0,0,0,0,0,0,0,20190515,20190601,Weekday (Modified)
1-127_MRG_3,0,0,0,0,0,0,0,20190515,20190601,Weekday (Modified)
1-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,Weekday (Modified)
13401-127,0,0,0,0,0,0,0,20190515,20190601,Rail Friday Night
13401-128,0,0,0,0,0,0,0,20190515,20190817,Rail Friday Night
14001-127,0,0,0,0,0,0,0,20190515,20190601,Thursday Only
14001-128,0,0,0,0,0,0,0,20190515,20190817,Thursday Only
14101-127,0,0,0,0,0,0,0,20190515,20190601,Wednesday Only
14101-128,0,0,0,0,0,0,0,20190515,20190817,Wednesday Only
15504-127,0,0,0,0,0,0,0,20190515,20190601,Saturday Rail
21005-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,UT Sunday Service (Modified)
21005-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,UT Sunday Service (Modified)
23501-128,0,0,0,0,0,0,0,20190515,20190817,Regular Weekday
25801-128,0,0,0,0,0,0,0,20190515,20190817,TRAIL OF LIGHTS
26104-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,491 WORK (Modified)
26104-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,491 WORK (Modified)
26201-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,492 WORK (Modified)
26201-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,492 WORK (Modified)
32401-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,RAPID THURSDAY (Modified)
32401-128,0,0,0,0,0,0,0,20190515,20190817,RAPID THURSDAY
32401-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,RAPID THURSDAY (Modified)
32501-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,RAPID MONDAY TO WEDNESDAY (Modified)
32501-128,0,0,0,0,0,0,0,20190515,20190817,RAPID MONDAY TO WEDNESDAY
32501-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,RAPID MONDAY TO WEDNESDAY (Modified)
39101-127,0,0,0,0,0,0,0,20190515,20190601,6TRAINMON to THURS
39101-128,0,0,0,0,0,0,0,20190515,20190817,6TRAINMON to THURS
4-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,Saturday (Modified)
4-127_MRG_2,0,0,0,0,0,0,0,20190515,20190601,Saturday (Modified)
4-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,Saturday (Modified)
4-128_MRG_2,0,0,0,0,0,0,0,20190515,20190817,Saturday (Modified)
40801-127,0,0,0,0,0,0,0,20190515,20190601,493 WORK
40801-128,0,0,0,0,0,0,0,20190515,20190817,493 WORK
4801-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,UT Registration (Modified)
4901-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,UT Finals (Modified)
4901-127_MRG_2,0,0,0,0,0,0,0,20190515,20190601,UT Finals (Modified)
4901-127_MRG_3,0,0,0,0,0,0,0,20190515,20190601,UT Finals (Modified)
4904-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,UT Finals (Modified)
5-127_MRG_1,0,0,0,0,0,0,0,20190515,20190601,Sunday (Modified)
5-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,Sunday (Modified)
5-128_MRG_2,0,0,0,0,0,0,0,20190515,20190817,Sunday (Modified)
5001-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,UT Summer Weekday (Modified)
5004-128_MRG_1,0,0,0,0,0,0,0,20190515,20190817,UT Summer Weekday (Modified)
5101-127,0,0,0,0,0,0,0,20190515,20190601,Weekday Special Event
5104-127,0,0,0,0,0,0,0,20190515,20190601,Weekday Special Event
