service_id,date,exception_type
1-127_MRG_1,20190531,1
1-127_MRG_2,20190515,1
1-127_MRG_2,20190516,1
1-127_MRG_2,20190517,1
1-127_MRG_2,20190520,1
1-127_MRG_2,20190521,1
1-127_MRG_2,20190522,1
1-127_MRG_2,20190523,1
1-127_MRG_2,20190524,1
1-127_MRG_2,20190528,1
1-127_MRG_2,20190529,1
1-127_MRG_3,20190530,1
1-128_MRG_1,20190603,1
1-128_MRG_1,20190604,1
1-128_MRG_1,20190605,1
1-128_MRG_1,20190606,1
1-128_MRG_1,20190607,1
1-128_MRG_1,20190610,1
1-128_MRG_1,20190611,1
1-128_MRG_1,20190612,1
1-128_MRG_1,20190613,1
1-128_MRG_1,20190614,1
1-128_MRG_1,20190617,1
1-128_MRG_1,20190618,1
1-128_MRG_1,20190619,1
1-128_MRG_1,20190620,1
1-128_MRG_1,20190621,1
1-128_MRG_1,20190624,1
1-128_MRG_1,20190625,1
1-128_MRG_1,20190626,1
1-128_MRG_1,20190627,1
1-128_MRG_1,20190628,1
1-128_MRG_1,20190701,1
1-128_MRG_1,20190702,1
1-128_MRG_1,20190703,1
1-128_MRG_1,20190705,1
1-128_MRG_1,20190708,1
1-128_MRG_1,20190709,1
1-128_MRG_1,20190710,1
1-128_MRG_1,20190711,1
1-128_MRG_1,20190712,1
1-128_MRG_1,20190715,1
1-128_MRG_1,20190716,1
1-128_MRG_1,20190717,1
1-128_MRG_1,20190718,1
1-128_MRG_1,20190719,1
1-128_MRG_1,20190722,1
1-128_MRG_1,20190723,1
1-128_MRG_1,20190724,1
1-128_MRG_1,20190725,1
1-128_MRG_1,20190726,1
1-128_MRG_1,20190729,1
1-128_MRG_1,20190730,1
1-128_MRG_1,20190731,1
1-128_MRG_1,20190801,1
1-128_MRG_1,20190802,1
1-128_MRG_1,20190805,1
1-128_MRG_1,20190806,1
1-128_MRG_1,20190807,1
1-128_MRG_1,20190808,1
1-128_MRG_1,20190809,1
1-128_MRG_1,20190812,1
1-128_MRG_1,20190813,1
1-128_MRG_1,20190814,1
1-128_MRG_1,20190815,1
1-128_MRG_1,20190816,1
13401-127,20190517,1
13401-127,20190524,1
13401-127,20190531,1
13401-128,20190607,1
13401-128,20190614,1
13401-128,20190621,1
13401-128,20190628,1
13401-128,20190705,1
13401-128,20190712,1
13401-128,20190719,1
13401-128,20190726,1
13401-128,20190802,1
13401-128,20190809,1
13401-128,20190816,1
14001-127,20190516,1
14001-127,20190523,1
14001-127,20190530,1
14001-128,20190606,1
14001-128,20190613,1
14001-128,20190620,1
14001-128,20190627,1
14001-128,20190711,1
14001-128,20190718,1
14001-128,20190725,1
14001-128,20190801,1
14001-128,20190808,1
14001-128,20190815,1
14101-127,20190515,1
14101-127,20190522,1
14101-127,20190529,1
14101-128,20190605,1
14101-128,20190612,1
14101-128,20190619,1
14101-128,20190626,1
14101-128,20190703,1
14101-128,20190710,1
14101-128,20190717,1
14101-128,20190724,1
14101-128,20190731,1
14101-128,20190807,1
14101-128,20190814,1
15504-127,20190518,1
15504-127,20190525,1
21005-127_MRG_1,20190519,1
21005-128_MRG_1,20190609,1
21005-128_MRG_1,20190616,1
21005-128_MRG_1,20190623,1
21005-128_MRG_1,20190630,1
21005-128_MRG_1,20190707,1
21005-128_MRG_1,20190714,1
21005-128_MRG_1,20190721,1
21005-128_MRG_1,20190728,1
21005-128_MRG_1,20190804,1
21005-128_MRG_1,20190811,1
23501-128,20190603,1
23501-128,20190604,1
23501-128,20190605,1
23501-128,20190606,1
23501-128,20190607,1
23501-128,20190610,1
23501-128,20190611,1
23501-128,20190613,1
23501-128,20190614,1
23501-128,20190617,1
23501-128,20190618,1
23501-128,20190619,1
23501-128,20190620,1
23501-128,20190621,1
23501-128,20190624,1
23501-128,20190625,1
23501-128,20190626,1
23501-128,20190627,1
23501-128,20190628,1
23501-128,20190701,1
23501-128,20190702,1
23501-128,20190703,1
23501-128,20190705,1
23501-128,20190708,1
23501-128,20190709,1
23501-128,20190710,1
23501-128,20190711,1
23501-128,20190712,1
23501-128,20190715,1
23501-128,20190716,1
23501-128,20190718,1
23501-128,20190719,1
23501-128,20190722,1
23501-128,20190723,1
23501-128,20190724,1
23501-128,20190725,1
23501-128,20190726,1
23501-128,20190729,1
23501-128,20190730,1
23501-128,20190731,1
23501-128,20190801,1
23501-128,20190802,1
23501-128,20190805,1
23501-128,20190806,1
23501-128,20190808,1
23501-128,20190809,1
23501-128,20190812,1
23501-128,20190813,1
23501-128,20190814,1
23501-128,20190815,1
23501-128,20190816,1
25801-128,20190612,1
25801-128,20190717,1
25801-128,20190807,1
26104-127_MRG_1,20190518,1
26104-127_MRG_1,20190525,1
26104-127_MRG_1,20190601,1
26104-128_MRG_1,20190608,1
26104-128_MRG_1,20190615,1
26104-128_MRG_1,20190622,1
26104-128_MRG_1,20190629,1
26104-128_MRG_1,20190704,1
26104-128_MRG_1,20190706,1
26104-128_MRG_1,20190713,1
26104-128_MRG_1,20190720,1
26104-128_MRG_1,20190727,1
26104-128_MRG_1,20190803,1
26104-128_MRG_1,20190810,1
26104-128_MRG_1,20190817,1
26201-127_MRG_1,20190517,1
26201-127_MRG_1,20190524,1
26201-127_MRG_1,20190531,1
26201-128_MRG_1,20190607,1
26201-128_MRG_1,20190614,1
26201-128_MRG_1,20190621,1
26201-128_MRG_1,20190628,1
26201-128_MRG_1,20190705,1
26201-128_MRG_1,20190712,1
26201-128_MRG_1,20190719,1
26201-128_MRG_1,20190726,1
26201-128_MRG_1,20190802,1
26201-128_MRG_1,20190809,1
26201-128_MRG_1,20190816,1
32401-127_MRG_1,20190516,1
32401-127_MRG_1,20190517,1
32401-127_MRG_1,20190523,1
32401-127_MRG_1,20190524,1
32401-127_MRG_1,20190530,1
32401-127_MRG_1,20190531,1
32401-128,20190801,1
32401-128,20190802,1
32401-128,20190808,1
32401-128,20190809,1
32401-128,20190815,1
32401-128,20190816,1
32401-128_MRG_1,20190606,1
32401-128_MRG_1,20190607,1
32401-128_MRG_1,20190613,1
32401-128_MRG_1,20190614,1
32401-128_MRG_1,20190620,1
32401-128_MRG_1,20190621,1
32401-128_MRG_1,20190627,1
32401-128_MRG_1,20190628,1
32401-128_MRG_1,20190705,1
32401-128_MRG_1,20190711,1
32401-128_MRG_1,20190712,1
32401-128_MRG_1,20190718,1
32401-128_MRG_1,20190719,1
32401-128_MRG_1,20190725,1
32401-128_MRG_1,20190726,1
32501-127_MRG_1,20190515,1
32501-127_MRG_1,20190520,1
